Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;Columna1
1001881;ZSTO;MARCADOR INDUSTRIAL - ROJO UNIPAINT X UN;378;RE;24;24;LIBRERIA;22;;22;91,67%;22
1001971;ZSTO;ESMALTE SINT. AEROSOL ROJO X 440CC;378;RE;25;25;PINTURAS;23;;23;92,00%;#N/D
1001961;ZSTO;CINTA AISLADORA NEGRA X10MT;378;RE;25;25;FERRETERIA;17;6;23;92,00%;18
1001701;ZSTO;GUANTE NITRILO AZUL PUÑO ELASTIZADO;378;RE;34;34;SEGURIDAD;;32;32;94,12%;#N/D
1001745;ZSTO;BOTA GOMA P.ACERO N 41;378;RE;17;17;SEGURIDAD;16;;16;94,12%;13
1001866;ZSTO;MARCADOR INDUSTRIAL-NEGROXUN;378;RE;24;24;LIBRERIA;23;;23;95,83%;23
1001728;ZSTO;ADAPTADOR PROTECTOR FACIAL AUDITIVO;378;RE;40;40;SEGURIDAD;39;;39;97,50%;31
1001697;ZSTO;GUANTE VAQUETA MEDIO PASEO T.10;378;RE;282;282;SEGURIDAD;14;263;277;98,23%;68
1001878;ZSTO;CINTA DE ENMASCARAR 48MM X ROLLO;378;RE;14;14;LIBRERIA;14;;14;100,00%;12
1058841;ZSCD;CEPILLO PIPELINE ACERO 44T 178X6X22,23MM;378;RE;20;20;FERRETERIA;;20;20;100,00%;#N/D
1016910;ZSSD;CINTA METRICA X10MT CON PASACINTO;378;RE;5;5;FERRETERIA;2;3;5;100,00%;1
1001952;ZSTO;TRAPO LIMPIO (BOLSAX10KG) XUN;378;RE;12;12;FERRETERIA;12;;12;100,00%;1
1001960;ZSTO;CINTA AISLADORA AMARILLO X10MT;378;RE;12;12;FERRETERIA;12;;12;100,00%;11
1001962;ZSTO;CINTA AISLADORA ROJA X10MT;378;RE;6;6;FERRETERIA;6;;6;100,00%;6
1001969;ZSTO;ESMALTE SINT. AEROSOL BLANCO X440CC;378;RE;28;28;PINTURAS;28;;28;100,00%;#N/D
1001970;ZSTO;ESMALTE SINT. AEROSOL NEGRO X440CC;378;RE;24;24;PINTURAS;24;;24;100,00%;#N/D
1001993;ZSTO;ELECTRODO AWS7018 X 3,25 MM X KG;378;RE;80;80;SOLDADURA;80;;80;100,00%;#N/D
1002091;ZSTO;CAPA DE LLUVIA T.XXL;378;RE;43;43;ROPA;43;;43;100,00%;#N/D
1001909;ZSTO;LUSTRAMUEBLES X360ML;378;RE;28;28;LIMPIEZA;28;;28;100,00%;#N/D
1001872;ZSTO;RESMA DE HOJA A3 75GR. X UN;378;RE;10;10;LIBRERIA;10;;10;100,00%;#N/D
1001868;ZSTO;FILMSTRECHMANUALXBOBINAx2,70KG;378;RE;17;17;LIBRERIA;17;;17;100,00%;#N/D
1001869;ZSTO;MARCADORINDUSTRIAL-AMARILLOXUN;378;RE;24;24;LIBRERIA;24;;24;100,00%;24
1016982;ZSSD;FOLIO A4 ST X100;378;RE;4;4;LIBRERIA;3;1;4;100,00%;#N/D
1001707;ZSTO;CHALECOGRAFANARANJACONREFLETIVOT.XLC2;378;RE;10;10;SEGURIDAD;7;3;10;100,00%;7
1001861;ZSTO;TALONARIOREMITO R CUADRUPLICADOX25H.;378;RE;4;4;LIBRERIA;4;;4;100,00%;#N/D
1001718;ZSTO;RODILLERA SOLDADOR;378;RE;10;10;SEGURIDAD;10;;10;100,00%;#N/D
1001743;ZSTO;BOTA GOMA P.ACERO N 39;378;RE;3;3;SEGURIDAD;3;;3;100,00%;2
1001776;ZSTO;ESLINGA SINTETICA 3MTS 3TN CERTIFICADA;378;RE;8;8;SEGURIDAD;8;;8;100,00%;10
1001994;ZSTO;ELECTRODO AWS7018 X 2,50 MM X KG;378;RE;80;80;SOLDADURA;42;38;80;100,00%;#N/D
1017110;ZSSD;MATAFUEGO ABC X10KG;378;RE;6;6;SEGURIDAD;2;4;6;100,00%;#N/D
1001774;ZSTO;ESLINGA SINTETICA 4MTS 4TN CERTIFICADA;378;RE;8;8;SEGURIDAD;4;4;8;100,00%;4
1001992;ZSTO;ELECTRODO AWS7018 X 4,00 MM X KG;378;RE;80;80;SOLDADURA;85;;85;106,25%;#N/D
1056103;ZSTO;CUTTER METAL C/GUIA 18MM;378;RE;19;19;FERRETERIA;21;;21;110,53%;#N/D
1016953;ZSSD;REPUESTO HOJA P CUTTER 18MM X10;378;RE;8;8;FERRETERIA;9;;9;112,50%;9
1015834;ZSSD;PAPEL HIGIÉNICO X 4 UN;378;RE;39;39;LIMPIEZA;46;;46;117,95%;#N/D
1001958;ZSTO;CINTA TEFLON 1/2 X 20MT;378;RE;21;21;FERRETERIA;25;;25;119,05%;25
1027995;ZSSD;CEPILLO TRENZADO FPL 115X6X22 115105C622;378;RE;15;15;SOLDADURA;18;;18;120,00%;#N/D
1001906;ZSTO;INSECTICIDA MATA MOSCAS Y MOSQ. X360CC;378;RE;34;34;LIMPIEZA;41;;41;120,59%;#N/D
1001904;ZSTO;DETERGENTE X 5 LTS;378;RE;9;9;LIMPIEZA;7;4;11;122,22%;3
1001717;ZSTO;PROTECTOR FACIAL BURBUJA INCOLORO;378;RE;80;80;SEGURIDAD;98;;98;122,50%;107
1017974;ZSTO;LIMPIACONTACTOS AEROSOL X240ML;378;RE;8;8;INSUMOS;10;;10;125,00%;10
1017136;ZSSD;PRECINTO PLASTICO AL-7 X300MM;378;RE;16;16;FERRETERIA;20;;20;125,00%;#N/D
1001964;ZSTO;CINTA AISLADORA BLANCA;378;RE;4;4;FERRETERIA;5;;5;125,00%;5
1001700;ZSTO;CASCO CARCAZA AMARILLO;378;RE;50;50;SEGURIDAD;64;;64;128,00%;67
1055255;ZSTO;"PINCELETA 2""";378;RE;7;7;EIME;9;;9;128,57%;#N/D
1016914;ZSSD;PINCEL CERDA NB 10;378;RE;7;7;FERRETERIA;9;;9;128,57%;#N/D
1001871;ZSTO;RESMA DE HOJA A4 70GR. X UN;378;RE;40;40;LIBRERIA;52;;52;130,00%;28
1017243;ZSSD;BOTA PETROLERA N 42;378;RE;15;15;SEGURIDAD;20;;20;133,33%;18
1016911;ZSSD;CINTA METRICA X20MT;378;RE;3;3;FERRETERIA;4;;4;133,33%;#N/D
1036100;ZSTO;CONO FLEX. C/REFLECT. Y BASE CAUCHO 70CM;378;RE;22;22;SEGURIDAD;30;;30;136,36%;#N/D
1001950;ZSTO;CANDADO 38-40MM XUN;378;RE;8;8;FERRETERIA;11;;11;137,50%;12
1001923;ZSTO;AGROPOL 100 MIC 4X50MTS;378;RE;5;5;FERRETERIA;7;;7;140,00%;2
1016479;ZSCD;PROTECTOR SOLAR CREMA 60FPS X120ML;378;RE;42;42;SEGURIDAD;59;;59;140,48%;#N/D
1017244;ZSSD;BOTA PETROLERA N 43;378;RE;14;14;SEGURIDAD;18;2;20;142,86%;12
1001943;ZSTO;ADHESIVO CIANO 20 G XUN;378;RE;11;11;FERRETERIA;14;2;16;145,45%;14
1001959;ZSTO;CINTA TEFLON 3/4 X 20MT;378;RE;24;24;FERRETERIA;35;;35;145,83%;35
1001877;ZSTO;CINTA EMBALAR MARRON 48MM X 100 MT;378;RE;24;24;LIBRERIA;35;;35;145,83%;20
1017214;ZSSD;DISCO DIAMANTADO P AMOLADORA 7PG;378;RE;2;2;FERRETERIA;3;;3;150,00%;#N/D
1001727;ZSTO;PROTECTOR AUDITIVO COPA P/CASCO;378;RE;34;34;SEGURIDAD;52;;52;152,94%;23
1017050;ZSSD;BOBINA PAPEL 25CM 400MT;378;RE;30;30;LIMPIEZA;46;;46;153,33%;#N/D
1001675;ZSTO;CLAVOS P.PARIS 2 XKG;378;RE;31;31;ACEROS;48;;48;154,84%;#N/D
1001710;ZSTO;CINTA DEMARCAR PELIGRO ECOLOGICA;378;RE;20;20;SEGURIDAD;31;;31;155,00%;11
1001747;ZSTO;BOTA GOMA P.ACERO N 43;378;RE;16;16;SEGURIDAD;25;;25;156,25%;10
1001933;ZSTO;DISCO 114x1,6x222 REFORZADO x UN;378;RE;71;71;FERRETERIA;113;;113;159,15%;42
1017242;ZSSD;BOTA PETROLERA N 41;378;RE;8;8;SEGURIDAD;13;;13;162,50%;13
1001949;ZSTO;CANDADO 30MM XUN;378;RE;9;9;FERRETERIA;15;;15;166,67%;14
1001686;ZSTO;ANTEOJO GRIS;378;RE;159;159;SEGURIDAD;291;;291;183,02%;318
1001927;ZSTO;DISCO CORTE 178X1.6X22 SECUR EXTRA  x UN;378;RE;250;250;FERRETERIA;471;;471;188,40%;222
1001676;ZSTO;CLAVOS P.PARIS 2 1 2 XKG;378;RE;35;35;ACEROS;66;;66;188,57%;32
1001919;ZSTO;REPELENTE PARA INSECTOS OFF EN AEROSOL;378;RE;50;50;SEGURIDAD;97;;97;194,00%;#N/D
1001926;ZSTO;DISCO CORTE 114X3.2X22.23 TYROLIT S x UN;378;RE;100;100;FERRETERIA;199;;199;199,00%;99
1001709;ZSTO;CINTA PELIGRO 200 MT ROJA BLANCA NYLON;378;RE;5;5;SEGURIDAD;10;;10;200,00%;5
1001679;ZSTO;FICHA T.STECK MACHO 220V 16A 2P T XUN;378;RE;11;11;ELECTRICIDAD;22;;22;200,00%;#N/D
1001702;ZSTO;GUANTE SOLDADOR COSTURA KEVLAR;378;RE;73;73;SEGURIDAD;158;;158;216,44%;106
1017241;ZSSD;BOTA PETROLERA N 40;378;RE;5;5;SEGURIDAD;11;;11;220,00%;11
1058845;ZSTO;LUBRICANTE AEROSOL MULTIUSO X311GR;378;RE;14;14;FERRETERIA;33;;33;235,71%;31
1002092;ZSTO;CAPA DE LLUVIA T.XXXL;378;RE;10;10;ROPA;24;;24;240,00%;#N/D
1001815;ZSTO;AGUA DESMINERALIZADA X 20L;378;RE;8;8;LUBRICANTES;20;;20;250,00%;1
1013681;ZSSD;MAMELUCO IGNIFUGO T.XL C/LOGO;378;RE;14;14;SEGURIDAD;16;20;36;257,14%;17
1001687;ZSTO;ANTEOJO INCOLORO;378;RE;71;71;SEGURIDAD;185;;185;260,56%;185
1001726;ZSTO;SUSPENSION CREMALLERA;378;RE;37;37;SEGURIDAD;105;;105;283,78%;109
1017111;ZSSD;MATAFUEGO ABC X5KG;378;RE;4;4;SEGURIDAD;12;;12;300,00%;0
1002063;ZSTO;CAMPERA DESCARNE T.XL;378;RE;10;10;SEGURIDAD;30;;30;300,00%;12
1017008;ZSSD;ADHESIVO SINTETICO 50GR;378;RE;6;6;FERRETERIA;18;;18;300,00%;4
1001678;ZSTO;FICHA T.STECK HEMBRA 220V 16A 2P T X UN;378;RE;7;7;ELECTRICIDAD;22;;22;314,29%;#N/D
1013680;ZSSD;MAMELUCO IGNIFUGO T.L C/LOGO;378;RE;13;13;SEGURIDAD;21;20;41;315,38%;21
1001684;ZSTO;DELANTALDESCARNE0.60X1.20CONREFUERZO;378;RE;9;9;SEGURIDAD;30;;30;333,33%;40
1001699;ZSTO;CASCO CARCAZA BLANCO;378;RE;12;12;SEGURIDAD;43;;43;358,33%;44
1001934;ZSTO;DISCO C D O A 114X4.8X22.2 SECUR x UN;378;RE;50;50;FERRETERIA;179;45;224;448,00%;112
1015811;ZSSD;LIMPIAMANOS EN GEL P/MECÁNICO X UN;378;RE;3;3;LIMPIEZA;17;;17;566,67%;4
1017245;ZSSD;BOTA PETROLERA N 44;378;RE;2;2;SEGURIDAD;18;;18;900,00%;18
1016480;ZSCD;PROTECTOR SOLAR LABIAL 50FPS X4,8G;378;RE;25;25;SEGURIDAD;250;;250;1000,00%;#N/D
